num_tasks,avg_execution,avg_priority,avg_deadline,periodic_ratio,utilization,scheduler
2,4.677138840697914,1.5,15.0,1.0,0.6549271386491587,rms
3,2.548568776957138,2.0,23.333333333333332,1.0,0.36267654455894816,rms
3,4.000273322172251,2.0,23.333333333333332,1.0,0.5900896013780395,rms
2,3.791157539241162,1.5,15.0,1.0,0.49246796726528,rms
3,4.5748044420883724,2.0,23.333333333333332,1.0,0.6912421477026998,rms
2,2.853329164651818,1.5,15.0,1.0,0.32069757985161207,rms
3,6.4492911507626545,2.0,23.333333333333332,1.0,0.6785642610806235,rms
3,2.42527054979791,2.0,23.333333333333332,1.0,0.34903335609263075,rms
3,3.9003022137871084,2.0,23.333333333333332,1.0,0.4708220330728172,rms
3,7.60698943858628,2.0,23.333333333333332,1.0,0.659529848745771,rms
3,6.906409529590779,2.0,23.333333333333332,1.0,0.6393225818710488,rms
2,3.438656959203876,1.5,15.0,1.0,0.3627936379602063,rms
3,2.7859873075958816,2.0,23.333333333333332,1.0,0.45865819527567303,rms
2,2.6618141102254906,1.5,15.0,1.0,0.33299314262478785,rms
3,3.225449628939174,2.0,23.333333333333332,1.0,0.480583363723032,rms
3,5.070830811332533,2.0,23.333333333333332,1.0,0.6564703995595834,rms
2,2.4868386373815143,1.5,15.0,1.0,0.41410005309897147,rms
3,2.081947991695077,2.0,23.333333333333332,1.0,0.3433493549446492,rms
2,4.938098445928047,1.5,15.0,1.0,0.5693189627122295,rms
2,3.0070302957671755,1.5,15.0,1.0,0.42910873085141515,rms
2,2.9073486621781073,1.5,15.0,1.0,0.34700659776449555,rms
3,6.3625627372570355,2.0,23.333333333333332,1.0,0.5167006122080054,rms
3,2.488202187648188,2.0,23.333333333333332,1.0,0.30020908062580703,rms
2,2.793789525834248,1.5,15.0,1.0,0.353410139255095,rms
3,3.697167611873727,2.0,23.333333333333332,1.0,0.5242380368392981,rms
2,3.3286501413836653,1.5,15.0,1.0,0.434066684844969,rms
3,2.6326666797228366,2.0,23.333333333333332,1.0,0.4651492605323153,rms
3,6.136791860250405,2.0,23.333333333333332,1.0,0.6960213760936417,rms
3,5.297849798193439,2.0,23.333333333333332,1.0,0.48896060327907453,rms
2,2.3023526871296056,1.5,15.0,1.0,0.38310974083428806,rms
2,5.8594777783513345,1.5,15.0,1.0,0.6168771464485969,rms
2,4.929471279682347,1.5,15.0,1.0,0.607871085948636,rms
3,4.896112502384711,2.0,23.333333333333332,1.0,0.595400157382047,rms
3,4.541811357887531,2.0,23.333333333333332,1.0,0.5230723767243898,rms
2,2.9345678327345226,1.5,15.0,1.0,0.38408494596176124,rms
3,7.429688157420652,2.0,23.333333333333332,1.0,0.6564196465251559,rms
3,5.536501197007174,2.0,23.333333333333332,1.0,0.5333122395889728,rms
3,5.179571293908817,2.0,23.333333333333332,1.0,0.5779943814362574,rms
3,5.135946719299125,2.0,23.333333333333332,1.0,0.44724233297982474,rms
3,3.872615069696735,2.0,23.333333333333332,1.0,0.4065548198700711,rms
3,4.8140983730991325,2.0,23.333333333333332,1.0,0.4406568953301163,rms
3,2.6760307463129016,2.0,23.333333333333332,1.0,0.3097698351855582,rms
2,6.25654177135661,1.5,15.0,1.0,0.633171830411499,rms
2,7.015065225935968,1.5,15.0,1.0,0.7293740411444597,rms
2,3.5597487569123105,1.5,15.0,1.0,0.4196282113170947,rms
3,4.533133186906684,2.0,23.333333333333332,1.0,0.5796556088741682,rms
2,3.383423642389802,1.5,15.0,1.0,0.43157688328997923,rms
3,4.237721229730105,2.0,23.333333333333332,1.0,0.444438811757053,rms
3,2.629297348941225,2.0,23.333333333333332,1.0,0.30208320960239776,rms
2,3.633790393220834,1.5,15.0,1.0,0.4506053733163291,rms
3,3.7453403532705365,2.0,23.333333333333332,1.0,0.43184742156833633,rms
3,4.663133495468149,2.0,23.333333333333332,1.0,0.6305100755031807,rms
2,4.830002912140616,1.5,15.0,1.0,0.5037502282899182,rms
2,5.408427960515112,1.5,15.0,1.0,0.5840288280234038,rms
3,2.8541874362865536,2.0,23.333333333333332,1.0,0.31650038757181753,rms
3,6.400479826290103,2.0,23.333333333333332,1.0,0.6358858065062312,rms
3,3.0001285267984343,2.0,23.333333333333332,1.0,0.3377170520861539,rms
2,4.717331888347465,1.5,15.0,1.0,0.5725732291851608,rms
2,2.801310304437971,1.5,15.0,1.0,0.35354349396829743,rms
3,6.682598322998442,2.0,23.333333333333332,1.0,0.6437128002742183,rms
2,4.578890740306454,1.5,15.0,1.0,0.5070514078366868,rms
3,3.0350858339040223,2.0,23.333333333333332,1.0,0.31820255468625963,rms
3,7.093626717788811,2.0,23.333333333333332,1.0,0.5474408899964835,rms
3,4.608231732640475,2.0,23.333333333333332,1.0,0.4559615659825229,rms
2,4.293265092198016,1.5,15.0,1.0,0.5902914591721311,rms
3,2.2620022887459186,2.0,23.333333333333332,1.0,0.30732128965128586,rms
3,3.6967788665566395,2.0,23.333333333333332,1.0,0.43685846759159097,rms
3,5.7888906719531485,2.0,23.333333333333332,1.0,0.5953418679814653,rms
2,4.248538334568374,1.5,15.0,1.0,0.6260108350350045,rms
2,6.884666186233269,1.5,15.0,1.0,0.7147309558965238,rms
2,3.2788767318307595,1.5,15.0,1.0,0.4061543159507677,rms
2,4.307296819235433,1.5,15.0,1.0,0.442609113372976,rms
2,5.405357327124298,1.5,15.0,1.0,0.6774737799717243,rms
3,5.317008075095923,2.0,23.333333333333332,1.0,0.5303997939753733,rms
3,5.762188302959042,2.0,23.333333333333332,1.0,0.680168510410136,rms
3,4.932690008608851,2.0,23.333333333333332,1.0,0.47740114257744726,rms
3,6.859039654486914,2.0,23.333333333333332,1.0,0.6482964332213366,rms
3,2.564244651885699,2.0,23.333333333333332,1.0,0.3326848690821279,rms
2,6.23210544260564,1.5,15.0,1.0,0.7044541666659212,rms
2,5.646150307408739,1.5,15.0,1.0,0.6462845517821911,rms
2,3.710941384850032,1.5,15.0,1.0,0.4935849697866065,rms
3,2.641864832788332,2.0,23.333333333333332,1.0,0.34773947448491804,rms
2,3.302598711857939,1.5,15.0,1.0,0.5128623088862441,rms
3,2.440228629208308,2.0,23.333333333333332,1.0,0.30488350791325897,rms
2,3.7845408682295987,1.5,15.0,1.0,0.41272847531397205,rms
2,5.106423296100188,1.5,15.0,1.0,0.6100147706699268,rms
3,7.694844992998143,2.0,23.333333333333332,1.0,0.5961573594677123,rms
2,3.0366153578746213,1.5,15.0,1.0,0.42359673139384113,rms
3,3.3052989457320847,2.0,23.333333333333332,1.0,0.4068503571023646,rms
2,6.054588654832537,1.5,15.0,1.0,0.6626143755656524,rms
2,5.916195837464728,1.5,15.0,1.0,0.7190863214168268,rms
3,5.3049197814463,2.0,23.333333333333332,1.0,0.6747580249764114,rms
3,6.895746237488939,2.0,23.333333333333332,1.0,0.6958749635868767,rms
2,4.182849185209767,1.5,15.0,1.0,0.5088423661429474,rms
3,6.1970601789037305,2.0,23.333333333333332,1.0,0.5779217381660923,rms
3,5.281560768706229,2.0,23.333333333333332,1.0,0.6413771357251197,rms
3,5.018529474044082,2.0,23.333333333333332,1.0,0.6528575021687759,rms
3,6.691118868468345,2.0,23.333333333333332,1.0,0.610307362008536,rms
2,4.764325841969711,1.5,15.0,1.0,0.562875151692221,rms
3,3.96021665935789,2.0,23.333333333333332,1.0,0.5828899814122733,rms
3,3.8635121184126517,2.0,23.333333333333332,1.0,0.5229176072072996,rms
3,6.978536592117404,2.0,23.333333333333332,1.0,0.5499462462035765,rms
3,2.0925005741031644,2.0,23.333333333333332,1.0,0.3266127438854307,rms
2,2.2681919234284766,1.5,15.0,1.0,0.3338035164682644,rms
3,4.849948210584915,2.0,23.333333333333332,1.0,0.5803136461197919,rms
3,2.2284099353393385,2.0,23.333333333333332,1.0,0.3692358556087988,rms
2,4.712755135240927,1.5,15.0,1.0,0.5444989885575966,rms
2,4.799840678553362,1.5,15.0,1.0,0.5243148887612198,rms
2,5.201363123160224,1.5,15.0,1.0,0.606466148936627,rms
2,4.017564783591484,1.5,15.0,1.0,0.42337236412080664,rms
2,5.286570701273037,1.5,15.0,1.0,0.5390964276226883,rms
3,3.6521863871574873,2.0,23.333333333333332,1.0,0.485840359541474,rms
3,3.795654137917637,2.0,23.333333333333332,1.0,0.6011859331105832,rms
2,2.672153486303258,1.5,15.0,1.0,0.4681119420763449,rms
3,4.01161276120774,2.0,23.333333333333332,1.0,0.5150907817767862,rms
3,3.414290547093765,2.0,23.333333333333332,1.0,0.3349234274232625,rms
2,4.387636760766597,1.5,15.0,1.0,0.45036104914372116,rms
2,6.575995226121143,1.5,15.0,1.0,0.7395758173303628,rms
3,4.82452050263292,2.0,23.333333333333332,1.0,0.4467955601188016,rms
2,2.8945615885744673,1.5,15.0,1.0,0.33575090640498956,rms
2,6.15204904242709,1.5,15.0,1.0,0.699515557063938,rms
3,3.3130160550124237,2.0,23.333333333333332,1.0,0.403621960542735,rms
2,4.893646193846704,1.5,15.0,1.0,0.6736593165606994,rms
3,3.437133112218998,2.0,23.333333333333332,1.0,0.5039511673206973,rms
2,5.6016330200143205,1.5,15.0,1.0,0.715291062923231,rms
3,2.5866842999762767,2.0,23.333333333333332,1.0,0.35400604758670534,rms
2,2.0205149579105566,1.5,15.0,1.0,0.3012079345222614,rms
2,4.472796928352298,1.5,15.0,1.0,0.4554502615077624,rms
3,6.5229430997688,2.0,23.333333333333332,1.0,0.6748422329663011,rms
3,5.2007183457173065,2.0,23.333333333333332,1.0,0.638235719586681,rms
2,3.6372660398783143,1.5,15.0,1.0,0.4050205681476333,rms
3,4.841464585515392,2.0,23.333333333333332,1.0,0.45767927751118315,rms
2,4.360195157978567,1.5,15.0,1.0,0.49549778832019437,rms
3,6.042880026468256,2.0,23.333333333333332,1.0,0.5183923835679007,rms
3,4.981318902149583,2.0,23.333333333333332,1.0,0.5787266016654535,rms
2,2.8640685908936376,1.5,15.0,1.0,0.36758396214207917,rms
3,4.01320535145471,2.0,23.333333333333332,1.0,0.38218332464786287,rms
2,4.5947590163756225,1.5,15.0,1.0,0.6771659469284499,rms
2,4.23574713415722,1.5,15.0,1.0,0.5167133127688942,rms
2,5.290092638836488,1.5,15.0,1.0,0.6092126097746439,rms
2,5.765169057122972,1.5,15.0,1.0,0.7273487786602902,rms
3,5.3425383948558,2.0,23.333333333333332,1.0,0.6806059746019824,rms
3,4.24115038505762,2.0,23.333333333333332,1.0,0.5382446888080388,rms
2,4.952378482825685,1.5,15.0,1.0,0.556785110263877,rms
3,5.629976060615147,2.0,23.333333333333332,1.0,0.6376775795034266,rms
2,6.864044944487977,1.5,15.0,1.0,0.7103127890611091,rms
2,4.36814761723488,1.5,15.0,1.0,0.4690127066863826,rms
3,4.071304158748141,2.0,23.333333333333332,1.0,0.43399557657424526,rms
3,4.774233692234369,2.0,23.333333333333332,1.0,0.669023016763461,rms
3,4.901047608716496,2.0,23.333333333333332,1.0,0.4683187303384758,rms
2,5.26295272382754,1.5,15.0,1.0,0.5295533624930207,rms
3,3.8051309720424524,2.0,23.333333333333332,1.0,0.33429237298139297,rms
2,5.221720836545808,1.5,15.0,1.0,0.6563704022513321,rms
2,4.469503121296952,1.5,15.0,1.0,0.5103456722896751,rms
2,4.631564579876387,1.5,15.0,1.0,0.535111603722993,rms
2,2.633179812703699,1.5,15.0,1.0,0.3691726337439307,rms
3,4.591453204531915,2.0,23.333333333333332,1.0,0.4094073002954081,rms
2,3.456594657182699,1.5,15.0,1.0,0.5936062373877018,rms
2,4.652092354450332,1.5,15.0,1.0,0.5252464312101106,rms
2,4.396067353863617,1.5,15.0,1.0,0.5908534908297333,rms
3,6.793518892678249,2.0,23.333333333333332,1.0,0.5423567749296978,rms
2,3.8957113496582645,1.5,15.0,1.0,0.6993932688936909,rms
2,3.433898027558857,1.5,15.0,1.0,0.3547074682208895,rms
2,5.262945355302104,1.5,15.0,1.0,0.664240109022403,rms
2,3.012862637945537,1.5,15.0,1.0,0.31525151264313167,rms
2,3.812892567452675,1.5,15.0,1.0,0.4943311831608004,rms
3,3.9998613998325645,2.0,23.333333333333332,1.0,0.3458992946600951,rms
2,3.6430679993356803,1.5,15.0,1.0,0.4197184432722189,rms
3,4.2783762178043325,2.0,23.333333333333332,1.0,0.5591742722885042,rms
3,4.970575651834624,2.0,23.333333333333332,1.0,0.6673532234727034,rms
3,3.593073729583084,2.0,23.333333333333332,1.0,0.5893679156284453,rms
3,4.6981927332252305,2.0,23.333333333333332,1.0,0.5412797685473222,rms
3,4.840286206202115,2.0,23.333333333333332,1.0,0.4695685325029505,rms
2,3.6392868672437437,1.5,15.0,1.0,0.4734640573827945,rms
2,5.646435706966602,1.5,15.0,1.0,0.5719868047965649,rms
3,3.5869776443305756,2.0,23.333333333333332,1.0,0.5943378241394839,rms
